usn,sex,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,health,absences
1DS18CS010,1,1,0,0,3,3,1,4,1,0,1,2,0,0,1,0,0,0,1,1,1,3,3,3,3,6
1DS18CS123,0,0,0,1,1,3,3,4,2,0,2,2,0,0,1,1,0,1,1,0,0,3,3,4,3,4
1DS18CS078,1,1,0,1,2,3,2,2,2,0,1,2,0,0,0,0,0,1,1,1,0,4,3,3,2,10
1DS18CS006,0,0,0,1,1,1,4,4,0,2,3,1,1,0,1,0,0,1,1,1,0,4,4,4,5,4
1DS18CS345,0,1,0,1,2,2,4,4,2,1,1,2,0,0,0,0,0,1,0,1,0,4,3,5,4,4
1DS18CS321,0,1,0,1,4,3,0,4,0,0,1,2,0,0,1,1,1,1,1,1,0,4,3,3,5,6
1DS18CS456,0,0,0,1,2,2,4,4,2,1,2,2,0,0,1,1,1,1,1,1,0,4,5,2,1,4
1DS18CS159,0,1,0,1,4,4,0,2,0,1,1,2,1,0,1,0,1,1,1,1,0,4,3,3,2,0
1DS18CS009,0,1,0,1,4,4,0,0,0,1,1,2,0,0,0,1,1,0,1,1,0,3,2,4,2,4
1DS18CS049,1,0,0,1,4,4,0,4,1,0,2,2,0,0,0,1,1,1,1,1,0,4,3,4,4,8
1DS18CS310,1,1,0,0,3,4,2,4,2,1,1,1,0,0,0,0,0,1,1,1,0,3,2,1,5,16
1DS18CS222,0,0,1,1,3,3,0,4,0,1,3,1,0,0,1,1,1,1,1,1,0,3,3,4,3,8
1DS18CS279,0,0,0,1,3,2,4,4,2,0,2,2,2,1,1,0,0,1,1,1,1,4,4,4,3,6
1DS18CS173,1,1,1,1,3,1,0,2,2,0,1,2,0,0,1,1,0,1,1,1,0,4,3,4,1,0
1DS18CS271,0,1,1,0,4,4,0,0,2,0,1,1,0,0,0,0,1,1,1,1,0,5,5,3,4,6
1DS18CS210,0,1,0,1,1,1,4,4,1,1,1,2,0,0,0,1,0,0,1,1,0,4,3,3,4,2
1DS18CS196,0,0,0,1,1,3,4,4,2,1,3,2,1,0,1,0,1,1,1,1,0,5,2,4,5,20
1DS18CS348,1,0,0,1,2,3,4,4,1,2,1,3,1,0,0,0,0,1,1,1,1,4,1,2,3,40
1DS18CS061,1,1,0,0,4,4,4,0,0,0,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,6
1DS18CS168,1,1,0,1,1,2,3,4,2,0,1,2,0,0,1,1,0,0,1,1,0,4,3,2,5,2
1DS18CS315,1,1,0,1,0,1,3,4,2,2,1,2,3,0,1,0,0,0,0,0,0,3,4,2,5,2
1DS18CS013,1,1,0,1,4,3,2,4,0,1,1,2,0,0,1,1,0,1,1,1,1,3,1,2,2,21
1DS18CS182,1,1,0,1,1,2,3,2,2,0,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2
1DS18CS178,1,1,0,1,1,1,3,1,0,2,1,3,2,0,0,0,0,0,1,1,1,4,1,2,3,14
1DS18CS336,1,1,0,1,2,2,3,3,2,0,1,3,0,0,1,1,1,1,1,1,0,4,3,3,4,4
1DS18CS088,0,1,0,1,2,2,2,2,0,1,1,4,0,0,1,1,1,1,1,1,0,5,5,4,5,6
1DS18CS288,0,1,0,1,2,2,2,2,2,1,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,0
1DS18CS040,1,1,0,0,4,3,2,2,2,0,1,2,0,0,1,1,0,1,1,1,1,5,2,2,5,23
1DS18CS212,1,1,1,1,2,1,2,3,1,0,1,2,1,0,0,0,0,1,1,1,1,5,4,3,5,12
1DS18CS107,1,1,1,0,4,4,1,4,0,0,1,2,0,0,1,0,0,1,1,1,1,4,2,4,4,14
1DS18CS204,0,0,1,1,1,2,3,2,3,1,3,1,0,0,1,1,1,1,0,1,1,4,3,3,3,3
1DS18CS081,0,1,1,0,3,4,2,4,0,0,1,2,0,1,1,0,1,1,1,1,0,5,3,3,5,4
1DS18CS007,0,1,1,1,4,4,4,0,0,1,2,1,0,0,0,1,0,1,1,1,0,4,1,1,5,0
1DS18CS015,1,1,0,1,3,2,4,4,1,0,1,2,0,0,1,1,0,1,1,1,0,1,2,2,1,14
1DS18CS238,1,1,0,1,2,3,4,2,1,1,1,4,0,0,1,1,1,1,1,1,1,4,5,5,2,4
1DS18CS011,0,0,0,1,2,2,3,4,2,0,3,1,0,0,0,0,0,0,1,0,0,4,2,2,3,2
1DS18CS218,0,1,0,1,3,4,2,2,0,1,1,1,0,1,0,0,0,1,1,1,0,5,5,5,5,0
1DS18CS019,0,0,0,1,3,4,3,0,2,0,4,2,0,0,1,0,0,1,1,0,1,5,3,3,5,0
1DS18CS263,1,1,0,1,1,1,3,4,2,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,3,4
1DS18CS250,0,1,0,1,2,1,2,2,3,0,1,1,1,0,0,0,0,0,0,1,0,3,2,5,5,4
